#,Pokemon,,,New Sprites,Sprites Set,Sprites,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,AVG,Ability 1,Ability 2,Ability 3,,Generation
024,Arbok,Arbok,,,,,Poison,,60,95,69,65,79,80,448,74.67,Intimidate,Shed Skin,Unnerve,,1
025,Pikachu,Pikachu,,,,,Electric,,35,55,40,50,50,90,320,53.33,Static,,Lightning Rod,,1
025,Starter Pikachu,Starter Pikachu,,,,,Electric,,45,80,50,75,60,120,430,71.67,Static,,Lightning Rod,,7
026,Raichu,Raichu,,,,,Electric,,60,90,55,90,80,110,485,80.83,Static,,Lightning Rod,,1
026,Alolan Raichu,Alolan Raichu,,,,,Electric,Psychic,60,85,50,95,85,110,485,80.83,Surge Surfer,,,,7
027,Sandshrew,Sandshrew,,,,,Ground,,50,75,85,20,30,40,300,50,Sand Veil,,Sand Rush,,1
027,Alolan Sandshrew,Alolan Sandshrew,,,,,Ice,Steel,50,75,90,10,35,40,300,50,Snow Cloak,,Slush Rush,,7
028,Sandslash,Sandslash,,,,,Ground,,75,100,110,45,55,65,450,75,Sand Veil,,Sand Rush,,1
028,Alolan Sandslash,Alolan Sandslash,,,,,Ice,Steel,75,100,120,25,65,65,450,75,Snow Cloak,,Slush Rush,,7
029,Nidoran-F,Nidoran-F,,,,,Poison,,55,47,52,40,40,41,275,45.83,Poison Point,Rivalry,Hustle,,1
030,Nidorina,Nidorina,,,,,Poison,,70,62,67,55,55,56,365,60.83,Poison Point,Rivalry,Hustle,,1
031,Nidoqueen,Nidoqueen,,,,,Poison,Ground,90,92,87,75,85,76,505,84.17,Poison Point,Rivalry,Sheer Force,,1
032,Nidoran-M,Nidoran-M,,,,,Poison,,46,57,40,40,40,50,273,45.5,Poison Point,Rivalry,Hustle,,1
033,Nidorino,Nidorino,,,,,Poison,,61,72,57,55,55,65,365,60.83,Poison Point,Rivalry,Hustle,,1
034,Nidoking,Nidoking,,,,,Poison,Ground,81,102,77,85,75,85,505,84.17,Poison Point,Rivalry,Sheer Force,,1
035,Clefairy,Clefairy,,,,,Fairy,,70,45,48,60,65,35,323,53.83,Cute Charm,Magic Guard,Friend Guard,,1
036,Clefable,Clefable,,,,,Fairy,,95,70,73,95,90,60,483,80.5,Cute Charm,Magic Guard,Unaware,,1
037,Vulpix,Vulpix,,,,,Fire,,38,41,40,50,65,65,299,49.83,Flash Fire,,Drought,,1
037,Alolan Vulpix,Alolan Vulpix,,,,,Ice,,38,41,40,50,65,65,299,49.83,Snow Cloak,,Snow Warning,,7
038,Ninetales,Ninetales,,,,,Fire,,73,76,75,81,100,100,505,84.17,Flash Fire,,Drought,,1
038,Alolan Ninetales,Alolan Ninetales,,,,,Ice,Fairy,73,67,75,81,100,109,505,84.17,Snow Cloak,,Snow Warning,,7
039,Jigglypuff,Jigglypuff,,,,,Normal,Fairy,115,45,20,45,25,20,270,45,Cute Charm,Competitive,Friend Guard,,1
040,Wigglytuff,Wigglytuff,,,,,Normal,Fairy,140,70,45,85,50,45,435,72.5,Cute Charm,Competitive,Frisk,,1
041,Zubat,Zubat,,,,,Poison,Flying,40,45,35,30,40,55,245,40.83,Inner Focus,,Infiltrator,,1
042,Golbat,Golbat,,,,,Poison,Flying,75,80,70,65,75,90,455,75.83,Inner Focus,,Infiltrator,,1
043,Oddish,Oddish,,,,,Grass,Poison,45,50,55,75,65,30,320,53.33,Chlorophyll,,Run Away,,1
044,Gloom,Gloom,,,,,Grass,Poison,60,65,70,85,75,40,395,65.83,Chlorophyll,,Stench,,1
045,Vileplume,Vileplume,,,,,Grass,Poison,75,80,85,110,90,50,490,81.67,Chlorophyll,,Effect Spore,,1
046,Paras,Paras,,,,,Bug,Grass,35,70,55,45,55,25,285,47.5,Effect Spore,Dry Skin,Damp,,1
047,Parasect,Parasect,,,,,Bug,Grass,60,95,80,60,80,30,405,67.5,Effect Spore,Dry Skin,Damp,,1
048,Venonat,Venonat,,,,,Bug,Poison,60,55,50,40,55,45,305,50.83,Compound Eyes,Tinted Lens,Run Away,,1
049,Venomoth,Venomoth,,,,,Bug,Poison,70,65,60,90,75,90,450,75,Shield Dust,Tinted Lens,Wonder Skin,,1
050,Diglett,Diglett,,,,,Ground,,10,55,25,35,45,95,265,44.17,Sand Veil,Arena Trap,Sand Force,,1
050,Alolan Diglett,Alolan Diglett,,,,,Ground,Steel,10,55,30,35,45,90,265,44.17,Sand Veil,Tangling Hair,Sand Force,,7
051,Dugtrio,Dugtrio,,,,,Ground,,35,100,50,50,70,120,425,70.83,Sand Veil,Arena Trap,Sand Force,,1
051,Alolan Dugtrio,Alolan Dugtrio,,,,,Ground,Steel,35,100,60,50,70,110,425,70.83,Sand Veil,Tangling Hair,Sand Force,,7
052,Meowth,Meowth,,,,,Normal,,40,45,35,40,40,90,290,48.33,Pickup,Technician,Unnerve,,1
052,Alolan Meowth,Alolan Meowth,,,,,Dark,,40,35,35,50,40,90,290,48.33,Pickup,Technician,Rattled,,7
052,Galarian Meowth,Galarian Meowth,,,,,Steel,,50,65,55,40,40,90,340,56.67,Pickup,Technician,Tough Claws,,8
053,Persian,Persian,,,,,Normal,,65,70,60,65,65,115,440,73.33,Limber,Technician,Unnerve,,1
053,Alolan Persian,Alolan Persian,,,,,Dark,,65,60,60,75,65,115,440,73.33,Fur Coat,Technician,Rattled,,7
054,Psyduck,Psyduck,,,,,Water,,50,52,48,65,50,55,320,53.33,Damp,Cloud Nine,Swift Swim,,1
055,Golduck,Golduck,,,,,Water,,80,82,78,95,80,85,500,83.33,Damp,Cloud Nine,Swift Swim,,1
056,Mankey,Mankey,,,,,Fighting,,40,80,35,35,45,70,305,50.83,Vital Spirit,Anger Point,Defiant,,1
057,Primeape,Primeape,,,,,Fighting,,65,105,60,60,70,95,455,75.83,Vital Spirit,Anger Point,Defiant,,1
058,Growlithe,Growlithe,,,,,Fire,,55,70,45,70,50,60,350,58.33,Intimidate,Flash Fire,Justified,,1
058,Hisuian Growlithe,Hisuian Growlithe,,,,,Fire,Rock,60,75,45,65,50,55,350,58.33,Intimidate,Flash Fire,Rock Head,,9
059,Arcanine,Arcanine,,,,,Fire,,90,110,80,100,80,95,555,92.5,Intimidate,Flash Fire,Justified,,1
059,Hisuian Arcanine,Hisuian Arcanine,,,,,Fire,Rock,95,115,80,95,80,90,555,92.5,Intimidate,Flash Fire,Rock Head,,9
060,Poliwag,Poliwag,,,,,Water,,40,50,40,40,40,90,300,50,Water Absorb,Damp,Swift Swim,,1
061,Poliwhirl,Poliwhirl,,,,,Water,,65,65,65,50,50,90,385,64.17,Water Absorb,Damp,Swift Swim,,1
062,Poliwrath,Poliwrath,,,,,Water,Fighting,90,95,95,70,90,70,510,85,Water Absorb,Damp,Swift Swim,,1
063,Abra,Abra,,,,,Psychic,,25,20,15,105,55,90,310,51.67,Synchronize,Inner Focus,Magic Guard,,1
064,Kadabra,Kadabra,,,,,Psychic,,40,35,30,120,70,105,400,66.67,Synchronize,Inner Focus,Magic Guard,,1
065,Alakazam,Alakazam,,,,,Psychic,,55,50,45,135,95,120,500,83.33,Synchronize,Inner Focus,Magic Guard,,1
065,Mega Alakazam,Mega Alakazam,,,,,Psychic,,55,50,65,175,105,150,600,100,Trace,,,,1
066,Machop,Machop,,,,,Fighting,,70,80,50,35,35,35,305,50.83,Guts,No Guard,Steadfast,,1
067,Machoke,Machoke,,,,,Fighting,,80,100,70,50,60,45,405,67.5,Guts,No Guard,Steadfast,,1
068,Machamp,Machamp,,,,,Fighting,,90,130,80,65,85,55,505,84.17,Guts,No Guard,Steadfast,,1
069,Bellsprout,Bellsprout,,,,,Grass,Poison,50,75,35,70,30,40,300,50,Chlorophyll,,Gluttony,,1
070,Weepinbell,Weepinbell,,,,,Grass,Poison,65,90,50,85,45,55,390,65,Chlorophyll,,Gluttony,,1
071,Victreebel,Victreebel,,,,,Grass,Poison,80,105,65,100,70,70,490,81.67,Chlorophyll,,Gluttony,,1
072,Tentacool,Tentacool,,,,,Water,Poison,40,40,35,50,100,70,335,55.83,Clear Body,Liquid Ooze,Rain Dish,,1
073,Tentacruel,Tentacruel,,,,,Water,Poison,80,70,65,80,120,100,515,85.83,Clear Body,Liquid Ooze,Rain Dish,,1
074,Geodude,Geodude,,,,,Rock,Ground,40,80,100,30,30,20,300,50,Rock Head,Sturdy,Sand Veil,,1
074,Alolan Geodude,Alolan Geodude,,,,,Rock,Electric,40,80,100,30,30,20,300,50,Magnet Pull,Sturdy,Galvanize,,7
075,Graveler,Graveler,,,,,Rock,Ground,55,95,115,45,45,35,390,65,Rock Head,Sturdy,Sand Veil,,1
075,Alolan Graveler,Alolan Graveler,,,,,Rock,Electric,55,95,115,45,45,35,390,65,Magnet Pull,Sturdy,Galvanize,,7
076,Golem,Golem,,,,,Rock,Ground,80,120,130,55,65,45,495,82.5,Rock Head,Sturdy,Sand Veil,,1
076,Alolan Golem,Alolan Golem,,,,,Rock,Electric,80,120,130,55,65,45,495,82.5,Magnet Pull,Sturdy,Galvanize,,7
077,Ponyta,Ponyta,,,,,Fire,,50,85,55,65,65,90,410,68.33,Run Away,Flash Fire,Flame Body,,1
077,Galarian Ponyta,Galarian Ponyta,,,,,Psychic,,50,85,55,65,65,90,410,68.33,Anticipation,Run Away,Pastel Veil,,8
078,Rapidash,Rapidash,,,,,Fire,,65,100,70,80,80,105,500,83.33,Run Away,Flash Fire,Flame Body,,1
078,Galarian Rapidash,Galarian Rapidash,,,,,Psychic,Fairy,65,100,70,80,80,105,500,83.33,Anticipation,Run Away,Pastel Veil,,8
079,Slowpoke,Slowpoke,,,,,Water,Psychic,90,65,65,40,40,15,315,52.5,Oblivious,Own Tempo,Regenerator,,1
079,Galarian Slowpoke,Galarian Slowpoke,,,,,Water,Psychic,90,65,65,40,40,15,315,52.5,Oblivious,Own Tempo,Regenerator,,8
080,Slowbro,Slowbro,,,,,Water,Psychic,95,75,110,100,80,30,490,81.67,Oblivious,Own Tempo,Regenerator,,1
080,Mega Slowbro,Mega Slowbro,,,,,Water,Psychic,95,75,180,130,80,30,590,98.33,Shell Armor,,,,6
080,Galarian Slowbro,Galarian Slowbro,,,,,Poison,Psychic,95,100,95,100,70,30,490,81.67,Quick Draw,Own Tempo,Regenerator,,8
081,Magnemite,Magnemite,,,,,Electric,Steel,25,35,70,95,55,45,325,54.17,Magnet Pull,Sturdy,Analytic,,1
082,Magneton,Magneton,,,,,Electric,Steel,50,60,95,120,70,70,465,77.5,Magnet Pull,Sturdy,Analytic,,1
083,Farfetch'd,Farfetch'd,,,,,Normal,Flying,52,90,55,58,62,60,377,62.83,Keen Eye,Inner Focus,Defiant,,1
083,Galarian Farfetch'd,Galarian Farfetch'd,,,,,Fighting,,52,95,55,58,62,55,377,62.83,Scrappy,Steadfast,,,8
084,Doduo,Doduo,,,,,Normal,Flying,35,85,45,35,35,75,310,51.67,Run Away,Early Bird,Tangled Feet,,1
085,Dodrio,Dodrio,,,,,Normal,Flying,60,110,70,60,60,110,470,78.33,Run Away,Early Bird,Tangled Feet,,1
086,Seel,Seel,,,,,Water,,65,45,55,45,70,45,325,54.17,Thick Fat,Hydration,Ice Body,,1
087,Dewgong,Dewgong,,,,,Water,Ice,90,70,80,70,95,70,475,79.17,Thick Fat,Hydration,Ice Body,,1
088,Grimer,Grimer,,,,,Poison,,80,80,50,40,50,25,325,54.17,Stench,Sticky Hold,Poison Touch,,1
088,Alolan Grimer,Alolan Grimer,,,,,Poison,Dark,80,80,50,40,50,25,325,54.17,Poison Touch,Gluttony,Power of Alchemy,,7
089,Muk,Muk,,,,,Poison,,105,105,75,65,100,50,500,83.33,Stench,Sticky Hold,Poison Touch,,1
089,Alolan Muk,Alolan Muk,,,,,Poison,Dark,105,105,75,65,100,50,500,83.33,Poison Touch,Gluttony,Power of Alchemy,,7
090,Shellder,Shellder,,,,,Water,,30,65,100,45,25,40,305,50.83,Shell Armor,Skill Link,Overcoat,,1
091,Cloyster,Cloyster,,,,,Water,Ice,50,95,180,85,45,70,525,87.5,Shell Armor,Skill Link,Overcoat,,1
092,Gastly,Gastly,,,,,Ghost,Poison,30,35,30,100,35,80,310,51.67,Levitate,,,,1
093,Haunter,Haunter,,,,,Ghost,Poison,45,50,45,115,55,95,405,67.5,Levitate,,,,1
094,Gengar,Gengar,,,,,Ghost,Poison,60,65,60,130,75,110,500,83.33,Cursed Body,,,,1
094,Mega Gengar,Mega Gengar,,,,,Ghost,Poison,60,65,80,170,95,130,600,100,Shadow Tag,,,,6
095,Onix,Onix,,,,,Rock,Ground,35,45,160,30,45,70,385,64.17,Rock Head,Sturdy,Weak Armor,,1
096,Drowzee,Drowzee,,,,,Psychic,,60,48,45,43,90,42,328,54.67,Insomnia,Forewarn,Inner Focus,,1
097,Hypno,Hypno,,,,,Psychic,,85,73,70,73,115,67,483,80.5,Insomnia,Forewarn,Inner Focus,,1
098,Krabby,Krabby,,,,,Water,,30,105,90,25,25,50,325,54.17,Hyper Cutter,Shell Armor,Sheer Force,,1
099,Kingler,Kingler,,,,,Water,,55,130,115,50,50,75,475,79.17,Hyper Cutter,Shell Armor,Sheer Force,,1
100,Voltorb,Voltorb,,,,,Electric,,40,30,50,55,55,100,330,55,Soundproof,Static,Aftermath,,1
100,Hisuian Voltorb,Hisuian Voltorb,,,,,Electric,Grass,40,30,50,55,55,100,330,55,Soundproof,Static,Aftermath,,9
101,Electrode,Electrode,,,,,Electric,,60,50,70,80,80,150,490,81.67,Soundproof,Static,Aftermath,,1
101,Hisuian Electrode,Hisuian Electrode,,,,,Electric,Grass,60,50,70,80,80,150,490,81.67,Soundproof,Static,Aftermath,,9
102,Exeggcute,Exeggcute,,,,,Grass,Psychic,60,40,80,60,45,40,325,54.17,Chlorophyll,,Harvest,,1
103,Exeggutor,Exeggutor,,,,,Grass,Psychic,95,95,85,125,75,55,530,88.33,Chlorophyll,,Harvest,,1
103,Alolan Exeggutor,Alolan Exeggutor,,,,,Grass,Dragon,95,105,85,125,75,45,530,88.33,Frisk,,Harvest,,7
104,Cubone,Cubone,,,,,Ground,,50,50,95,40,50,35,320,53.33,Rock Head,Lightning Rod,Battle Armor,,1
105,Marowak,Marowak,,,,,Ground,,60,80,110,50,80,45,425,70.83,Rock Head,Lightning Rod,Battle Armor,,1
105,Alolan Marowak,Alolan Marowak,,,,,Fire,Ghost,60,80,110,50,80,45,425,70.83,Cursed Body,Lightning Rod,Rock Head,,7
106,Hitmonlee,Hitmonlee,,,,,Fighting,,50,120,53,35,110,87,455,75.83,Limber,Reckless,Unburden,,1
107,Hitmonchan,Hitmonchan,,,,,Fighting,,50,105,79,35,110,76,455,75.83,Keen Eye,Iron Fist,Inner Focus,,1
108,Lickitung,Lickitung,,,,,Normal,,90,55,75,60,75,30,385,64.17,Own Tempo,Oblivious,Cloud Nine,,1
109,Koffing,Koffing,,,,,Poison,,40,65,95,60,45,35,340,56.67,Levitate,,,,1
110,Weezing,Weezing,,,,,Poison,,65,90,120,85,70,60,490,81.67,Levitate,,,,1
110,Galarian Weezing,Galarian Weezing,,,,,Poison,Fairy,65,90,120,85,70,60,490,81.67,Levitate,Neutralizing Gas,Misty Surge,,8
111,Rhyhorn,Rhyhorn,,,,,Ground,Rock,80,85,95,30,30,25,345,57.5,Lightning Rod,Rock Head,Reckless,,1
112,Rhydon,Rhydon,,,,,Ground,Rock,105,130,120,45,45,40,485,80.83,Lightning Rod,Rock Head,Reckless,,1
113,Chansey,Chansey,,,,,Normal,,250,5,5,35,105,50,450,75,Natural Cure,Serene Grace,Healer,,1
114,Tangela,Tangela,,,,,Grass,,65,55,115,100,40,60,435,72.5,Chlorophyll,Leaf Guard,Regenerator,,1
115,Kangaskhan,Kangaskhan,,,,,Normal,,105,95,80,40,80,90,490,81.67,Early Bird,Scrappy,Inner Focus,,1
115,Mega Kangaskhan,Mega Kangaskhan,,,,,Normal,,105,125,100,60,100,100,590,98.33,Parental Bond,,,,6
116,Horsea,Horsea,,,,,Water,,30,40,70,70,25,60,295,49.17,Swift Swim,Sniper,Damp,,1
117,Seadra,Seadra,,,,,Water,,55,65,95,95,45,85,440,73.33,Poison Point,Sniper,Damp,,1
118,Goldeen,Goldeen,,,,,Water,,45,67,60,35,50,63,320,53.33,Swift Swim,Water Veil,Lightning Rod,,1
119,Seaking,Seaking,,,,,Water,,80,92,65,65,80,68,450,75,Swift Swim,Water Veil,Lightning Rod,,1
120,Staryu,Staryu,,,,,Water,,30,45,55,70,55,85,340,56.67,Illuminate,Natural Cure,Analytic,,1
121,Starmie,Starmie,,,,,Water,Psychic,60,75,85,100,85,115,520,86.67,Illuminate,Natural Cure,Analytic,,1
122,Mr. Mime,Mr. Mime,,,,,Psychic,Fairy,40,45,65,100,120,90,460,76.67,Soundproof,Filter,Technician,,1
122,Galarian Mr. Mime,Galarian Mr. Mime,,,,,Ice,Psychic,50,65,65,90,90,100,460,76.67,Ice Body,Vital Spirit,Screen Cleaner,,8
123,Scyther,Scyther,,,,,Bug,Flying,70,110,80,55,80,105,500,83.33,Swarm,Technician,Steadfast,,1
124,Jynx,Jynx,,,,,Ice,Psychic,65,50,35,115,95,95,455,75.83,Oblivious,Forewarn,Dry Skin,,1
125,Electabuzz,Electabuzz,,,,,Electric,,65,83,57,95,85,105,490,81.67,Static,,Vital Spirit,,1
126,Magmar,Magmar,,,,,Fire,,65,95,57,100,85,93,495,82.5,Flame Body,,Vital Spirit,,1
127,Pinsir,Pinsir,,,,,Bug,,65,125,100,55,70,85,500,83.33,Hyper Cutter,Mold Breaker,Moxie,,1
127,Mega Pinsir,Mega Pinsir,,,,,Bug,Flying,65,155,120,65,90,105,600,100,Aerilate,,,,6
128,Tauros,Tauros,,,,,Normal,,75,100,95,40,70,110,490,81.67,Intimidate,Anger Point,Sheer Force,,1
128,Paldean Tauros,Paldean Tauros,,,,,Fighting,,75,110,105,30,70,100,490,81.67,Intimidate,Anger Point,Cud Chew,,9
128,Paldean Tauros-Fire,Paldean Tauros-Fire,,,,,Fighting,Fire,75,110,105,30,70,100,490,81.67,Intimidate,Anger Point,Cud Chew,,9
128,Paldean Tauros-Water,Paldean Tauros-Water,,,,,Fighting,Water,75,110,105,30,70,100,490,81.67,Intimidate,Anger Point,Cud Chew,,9
129,Magikarp,Magikarp,,,,,Water,,20,10,55,15,20,80,200,33.33,Swift Swim,,Rattled,,1
130,Gyarados,Gyarados,,,,,Water,Flying,95,125,79,60,100,81,540,90,Intimidate,,Moxie,,1
130,Mega Gyarados,Mega Gyarados,,,,,Water,Dark,95,155,109,70,130,81,640,106.67,Mold Breaker,,,,6
131,Lapras,Lapras,,,,,Water,Ice,130,85,80,85,95,60,535,89.17,Water Absorb,Shell Armor,Hydration,,1
132,Ditto,Ditto,,,,,Normal,,48,48,48,48,48,48,288,48,Limber,,Imposter,,1
133,Eevee,Eevee,,,,,Normal,,55,55,50,45,65,55,325,54.17,Run Away,Adaptability,Anticipation,,1
133,Starter Eevee,Starter Eevee,,,,,Normal,,65,75,70,65,85,75,435,72.5,Run Away,Adaptability,Anticipation,,7
134,Vaporeon,Vaporeon,,,,,Water,,130,65,60,110,95,65,525,87.5,Water Absorb,,Hydration,,1
135,Jolteon,Jolteon,,,,,Electric,,65,65,60,110,95,130,525,87.5,Volt Absorb,,Quick Feet,,1
136,Flareon,Flareon,,,,,Fire,,65,130,60,95,110,65,525,87.5,Flash Fire,,Guts,,1
137,Porygon,Porygon,,,,,Normal,,65,60,70,85,75,40,395,65.83,Trace,Download,Analytic,,1
138,Omanyte,Omanyte,,,,,Rock,Water,35,40,100,90,55,35,355,59.17,Swift Swim,Shell Armor,Weak Armor,,1
139,Omastar,Omastar,,,,,Rock,Water,70,60,125,115,70,55,495,82.5,Swift Swim,Shell Armor,Weak Armor,,1
140,Kabuto,Kabuto,,,,,Rock,Water,30,80,90,55,45,55,355,59.17,Swift Swim,Battle Armor,Weak Armor,,1
141,Kabutops,Kabutops,,,,,Rock,Water,60,115,105,65,70,80,495,82.5,Swift Swim,Battle Armor,Weak Armor,,1
142,Aerodactyl,Aerodactyl,,,,,Rock,Flying,80,105,65,60,75,130,515,85.83,Rock Head,Pressure,Unnerve,,1
142,Mega Aerodactyl,Mega Aerodactyl,,,,,Rock,Flying,80,135,85,70,95,150,615,102.5,Tough Claws,,,,6
143,Snorlax,Snorlax,,,,,Normal,,160,110,65,65,110,30,540,90,Immunity,Thick Fat,Gluttony,,1
144,Articuno,Articuno,,,,,Ice,Flying,90,85,100,95,125,85,580,96.67,Pressure,,Snow Cloak,,1
144,Galarian Articuno,Galarian Articuno,,,,,Psychic,Flying,90,85,85,125,100,95,580,96.67,Competitive,,,,8
145,Zapdos,Zapdos,,,,,Electric,Flying,90,90,85,125,90,100,580,96.67,Pressure,,Static,,1
145,Galarian Zapdos,Galarian Zapdos,,,,,Fighting,Flying,90,125,90,85,90,100,580,96.67,Defiant,,,,8
146,Moltres,Moltres,,,,,Fire,Flying,90,100,90,125,85,90,580,96.67,Pressure,,Flame Body,,1
146,Galarian Moltres,Galarian Moltres,,,,,Dark,Flying,90,85,90,100,125,90,580,96.67,Berserk,,,,8
147,Dratini,Dratini,,,,,Dragon,,41,64,45,50,50,50,300,50,Shed Skin,,Marvel Scale,,1
148,Dragonair,Dragonair,,,,,Dragon,,61,84,65,70,70,70,420,70,Shed Skin,,Marvel Scale,,1
149,Dragonite,Dragonite,,,,,Dragon,Flying,91,134,95,100,100,80,600,100,Inner Focus,,Multiscale,,1
150,Mewtwo,Mewtwo,,,,,Psychic,,106,110,90,154,90,130,680,113.33,Pressure,,Unnerve,,1
150,Mega Mewtwo X,Mega Mewtwo X,,,,,Psychic,Fighting,106,190,100,154,100,130,780,130,Steadfast,,,,6
150,Mega Mewtwo Y,Mega Mewtwo Y,,,,,Psychic,,106,150,70,194,120,140,780,130,Insomnia,,,,6
151,Mew,Mew,,,,,Psychic,,100,100,100,100,100,100,600,100,Synchronize,,,,1
152,Chikorita,Chikorita,,,,,Grass,,45,49,65,49,65,45,318,53,Overgrow,,Leaf Guard,,2
153,Bayleef,Bayleef,,,,,Grass,,60,62,80,63,80,60,405,67.5,Overgrow,,Leaf Guard,,2
154,Meganium,Meganium,,,,,Grass,,80,82,100,83,100,80,525,87.5,Overgrow,,Leaf Guard,,2
155,Cyndaquil,Cyndaquil,,,,,Fire,,39,52,43,60,50,65,309,51.5,Blaze,,Flash Fire,,2
156,Quilava,Quilava,,,,,Fire,,58,64,58,80,65,80,405,67.5,Blaze,,Flash Fire,,2
157,Typhlosion,Typhlosion,,,,,Fire,,78,84,78,109,85,100,534,89,Blaze,,Flash Fire,,2
157,Hisuian Typhlosion,Hisuian Typhlosion,,,,,Fire,Ghost,73,84,78,119,85,95,534,89,Blaze,,Frisk,,9
158,Totodile,Totodile,,,,,Water,,50,65,64,44,48,43,314,52.33,Torrent,,Sheer Force,,2
159,Croconaw,Croconaw,,,,,Water,,65,80,80,59,63,58,405,67.5,Torrent,,Sheer Force,,2
160,Feraligatr,Feraligatr,,,,,Water,,85,105,100,79,83,78,530,88.33,Torrent,,Sheer Force,,2
161,Sentret,Sentret,,,,,Normal,,35,46,34,35,45,20,215,35.83,Run Away,Keen Eye,Frisk,,2
162,Furret,Furret,,,,,Normal,,85,76,64,45,55,90,415,69.17,Run Away,Keen Eye,Frisk,,2
163,Hoothoot,Hoothoot,,,,,Normal,Flying,60,30,30,36,56,50,262,43.67,Insomnia,Keen Eye,Tinted Lens,,2
164,Noctowl,Noctowl,,,,,Normal,Flying,100,50,50,86,96,70,452,75.33,Insomnia,Keen Eye,Tinted Lens,,2
165,Ledyba,Ledyba,,,,,Bug,Flying,40,20,30,40,80,55,265,44.17,Swarm,Early Bird,Rattled,,2
166,Ledian,Ledian,,,,,Bug,Flying,55,35,50,55,110,85,390,65,Swarm,Early Bird,Iron Fist,,2
